player,COUNT(DISTINCT pt.teamID)
A.C. Green,3
Aaron Brooks,4
Aaron Gordon,2
Aaron Gray,2
Aaron Holiday,2
Aaron McKie,4
Aaron Williams,2
Abdel Nader,3
Adam Keefe,2
Adonal Foyle,2
Adrian Branch,2
Adrian Caldwell,2
Adrian Dantley,4
Adrian Griffin,2
Al Attles,2
Al Bianchi,2
Al Harrington,4
Al Horford,3
Al Jefferson,4
Al-Farouq Aminu,2
Alaa Abdelnaby,2
Alan Henderson,3
Alec Burks,3
Alex Caruso,2
Alex English,2
Alex Hannum,3
Alfonzo McKinnie,2
Alize Johnson,2
Allan Houston,2
Allen Iverson,2
Alonzo Mourning,2
Alton Lister,4
Alvin Robertson,2
Amar'e Stoudemire,4
Amir Johnson,4
Anderson VarejÃ£o,2
Andray Blatche,2
Andre Drummond,3
Andre Iguodala,4
Andre Miller,5
Andrei Kirilenko,2
Andrew Bogut,2
Andrew Goudelock,2
Andrew Lang,2
Andrew Wiggins,2
AndrÃ©s Nocioni,2
Andy Phillip,4
Anfernee Hardaway,3
Antawn Jamison,4
Anthony Bonner,2
Anthony Bowie,3
Anthony Carter,3
Anthony Davis,2
Anthony Johnson,4
Anthony Mason,4
Anthony Miller,2
Anthony Morrow,2
Anthony Parker,2
Anthony Peeler,4
Anthony Tolliver,4
Antoine Carr,4
Antoine Walker,3
Antoine Wright,2
Antonio Daniels,5
Antonio Davis,3
Antonio Harvey,2
Antonio McDyess,3
Archie Clark,6
Armen Gilliam,5
Arnie Risen,2
Aron Baynes,3
Arron Afflalo,3
Art Williams,2
Artis Gilmore,3
Austin Croshere,2
Austin Daye,2
Austin Rivers,3
Avery Johnson,3
B.J. Armstrong,3
Bailey Howell,4
Baron Davis,4
Ben McLemore,2
Ben Wallace,3
Ben Warley,3
Beno Udrih,2
Benoit Benjamin,2
Bernard King,3
Bill Bridges,4
Bill Cartwright,2
Bill Closs,3
Bill Hanzlik,2
Bill Turner,3
Bill Walton,2
Bill Wennington,2
Bill Willoughby,2
Billy Kenville,3
Billy Knight,3
Billy McKinney,2
Billy Owens,2
Billy Paultz,4
Billy Thomas,3
Bimbo Coles,2
Bismack Biyombo,3
Bison Dele,3
Blake Griffin,3
Bo Outlaw,4
Bob Boozer,4
Bob Brannum,2
Bob Dandridge,2
Bob Ferry,3
Bob Hansen,2
Bob Harris,2
Bob Harrison,3
Bob Kauffman,2
Bob Lanier,2
Bob Lavoy,2
Bob McAdoo,4
Bob Portman,2
Bob Sura,2
Bob Thornton,2
Bob Weiss,4
Bob Wilkerson,2
Boban MarjanoviÄ‡,3
Bobby Jackson,4
Bobby Jones,2
Bobby Phills,2
Bobby Portis,2
Bobby Simmons,2
Bojan BogdanoviÄ‡,4
Bones McKinney,2
Bonzi Wells,4
Boris Diaw,4
BoÅ¡tjan Nachbar,2
Brad Holland,2
Brad Lohaus,3
Brad Miller,4
Brad Sellers,2
Brandan Wright,2
Brandon Bass,4
Brandon Jennings,2
Brandon Rush,2
Brendan Haywood,3
Brent Barry,4
Brevin Knight,3
Brian Cardinal,2
Brian Cook,2
Brian Evans,2
Brian Grant,4
Brian Scalabrine,2
Brian Shaw,4
Brian Skinner,4
Brook Lopez,2
Bruce Bowen,2
Bruce Brown,2
Bryce Drew,2
Bryn Forbes,3
Bryon Russell,3
Buck Williams,3
Bud Olsen,2
Butch Beard,3
Byron Houston,2
Byron Scott,2
C.J. Miles,3
C.J. Watson,3
CJ McCollum,2
Calbert Cheaney,2
Caldwell Jones,4
Calvin Booth,2
Calvin Natt,3
Cameron Payne,3
Campy Russell,2
Carl Braun,2
Carl Herrera,2
Carl Landry,3
Carlos Arroyo,4
Carlos Boozer,2
Carlos Delfino,4
Carmelo Anthony,4
Caron Butler,5
Cazzie Russell,3
Cedric Ceballos,3
Cedric Maxwell,2
Chandler Parsons,2
Channing Frye,3
Charles Barkley,3
Charles Davis,3
Charles Johnson,2
Charles Jones,4
Charles Oakley,3
Charles Smith,4
Charlie Criss,2
Charlie Scott,3
Charlie Ward,2
Chauncey Billups,5
Cherokee Parks,2
Chet Walker,3
Chris Andersen,3
Chris Bosh,2
Chris Carr,2
Chris Childs,2
Chris Copeland,2
Chris Dudley,5
Chris Duhon,3
Chris Ford,2
Chris Gatling,4
Chris Kaman,2
Chris Mihm,2
Chris Mills,2
Chris Morris,3
Chris Mullin,2
Chris Paul,5
Chris Washburn,2
Chris Webber,5
Chris Whitney,2
Christian Laettner,3
Chuck Cooper,2
Chuck Hayes,2
Chuck Nevitt,3
Chuck Noble,2
Chuck Person,3
Chuck Share,3
Chucky Atkins,4
Chucky Brown,5
Clarence Weatherspoon,2
Clay Johnson,2
Clem Haskins,2
Clemon Johnson,4
Cliff Levingston,4
Cliff Robinson,3
Clifford Ray,2
Clifford Robinson,4
Clint Capela,2
Clint Richardson,2
Clyde Drexler,2
Clyde Lee,3
Clyde Lovellette,4
Coby Dietrick,2
Cody Zeller,2
Cole Aldrich,2
Connie Dierking,3
Connie Hawkins,2
Corey Brewer,4
Corie Blount,4
Corliss Williamson,2
Cornell Warner,2
Cory Joseph,3
Courtney Lee,4
Craig Ehlo,3
Craig Hodges,2
Curtis Perry,2
Curtis Rowe,2
Cuttino Mobley,3
D'Angelo Russell,2
D.J. Augustin,4
D.J. Mbenga,3
Daequan Cook,3
Dahntay Jones,6
Dale Davis,3
Dale Ellis,4
Dale Schlueter,2
Damien Wilkins,2
Damon Jones,4
Damon Stoudamire,2
Dan Majerle,3
Dan Roundfield,3
Dana Barros,3
Daniel Santiago,2
Danilo Gallinari,4
Danny Ainge,3
Danny Ferry,2
Danny Granger,2
Danny Green,4
Danny Manning,6
Danny Schayes,5
Danny Vranes,2
Danny Young,3
Dante Cunningham,4
Danuel House Jr.,2
Dario Å ariÄ‡,2
Darius Morris,2
Darius Songaila,2
Darko MiliÄiÄ‡,2
Darnell Hillman,2
Darnell Valentine,2
Darrall Imhoff,3
Darrell Armstrong,3
Darrell Walker,5
Darren Collison,2
Darren Daye,2
Darrick Martin,4
Darrin Hancock,2
Darryl Dawkins,2
Darvin Ham,2
Darwin Cook,3
Dave Bing,2
Dave Corzine,4
Dave DeBusschere,2
Dave Feitl,2
Dave Gambee,2
Dave Greenwood,4
Dave Piontek,2
Dave Robisch,3
Dave Stallworth,2
David Lee,3
David Thirdkill,2
David Thompson,2
David Wesley,4
David West,4
David Wingate,4
David Wood,2
DeAndre Jordan,2
DeAndre Liggins,2
DeJuan Blair,2
DeMar DeRozan,3
DeMarcus Cousins,3
DeMarre Carroll,5
DeShawn Stevenson,4
Dee Brown,4
Dell Curry,5
Delon Wright,3
Delonte West,3
Dennis Awtrey,4
Dennis Johnson,3
Dennis Rodman,3
Dennis SchrÃ¶der,3
Dennis Scott,2
DerMarr Johnson,2
Derek Anderson,4
Derek Fisher,3
Derek Harper,3
Derek Smith,2
Derek Strong,2
Deron Williams,4
Derrick Chievous,2
Derrick Coleman,3
Derrick Jones Jr.,3
Derrick McKey,3
Derrick Rose,3
Derrick White,2
Desmond Mason,2
Detlef Schrempf,4
Devean George,2
Devin Brown,4
Devin Harris,3
Dewayne Dedmon,2
Dick Barnett,3
Dick Farley,2
Dick Garrett,2
Dick Gibbs,2
Dick McGuire,2
Dick Snyder,3
