season,player,pos,age,team_id,g,gs,mp_per_g,fg_pct,fg3_pct,fg2_pct,ft_pct,pts_per_g,ast_pct,blk_pct,drb_pct,orb_pct,stl_pct,tov_pct
2022,Omer Yurtseven,C,23,MIA,9,0,4.2,0.667,0,0.75,0.333,2.8,16.6,2.9,19.3,3,0,0
2022,Kessler Edwards,SF,21,BRK,2,0,3.5,,,,,0,17.5,0,0,0,7.3,100
2022,Draymond Green,PF,31,GSW,22,22,32,0.479,0.205,0.581,0.638,8,25.7,3.2,20.6,4.3,1.8,26.4
2022,Danny Green,SF,34,PHI,12,12,26.6,0.404,0.408,0.385,0,8.6,4.9,1.2,10.3,3.6,2,12.7
2022,Devonte' Graham,PG,26,NOP,6,0,10,0.333,0.357,0.25,0.875,4,9.4,1.4,14.7,3.7,0.9,15.7
2022,Aaron Gordon,PF,26,DEN,5,5,32,0.426,0.2,0.513,0.714,13.8,12,3.9,14.4,13.5,0.6,10.8
2022,Rudy Gobert,C,29,UTA,6,6,32.8,0.636,,0.636,0.682,12,2.4,3.8,34.1,12.5,0.3,13.3
2022,Danilo Gallinari,PF,33,ATL,5,3,22.4,0.4,0.267,0.467,1,10.2,6.4,0,20.9,2.1,0.5,9.1
2022,Bryn Forbes,SG,28,DEN,5,0,15.2,0.4,0.364,0.5,0.8,4,12.4,0,3.4,1.6,0.7,10.4
2022,Malachi Flynn,PG,23,TOR,6,0,6,0,0,0,,0,10.6,0,3.8,6.2,1.5,12.5
2022,Malik Fitts,PF,24,BOS,9,0,1.8,0.75,1,0.5,,0.9,0,0,13.6,0,0,0
2022,Dorian Finney-Smith,PF,28,DAL,18,18,38.2,0.471,0.426,0.571,0.708,11.7,7.8,0.9,11.6,5.4,1.3,9.7
2022,Joel Embiid,C,27,PHI,10,10,38.5,0.484,0.212,0.555,0.82,23.6,9.9,1.9,26.2,7,0.5,13.8
2022,Anthony Edwards,SG,20,MIN,6,6,37.8,0.455,0.404,0.509,0.824,25.2,14.8,2.6,9.8,2.1,1.4,10.7
2022,Jae Crowder,PF,31,PHO,13,13,29.5,0.4,0.302,0.548,0.731,9.4,10.8,1.8,16,2.6,1.8,14
2022,Kevin Durant,PF,33,BRK,4,4,44,0.386,0.333,0.403,0.895,26.3,22.3,0.5,15.7,1.5,1.2,17.4
2022,Andre Drummond,C,28,BRK,4,4,15,0.545,,0.545,0.6,3.8,7,4.8,19.7,6.5,4.3,31.3
2022,Goran DragiÄ‡,PG,35,BRK,4,0,19.8,0.563,0.333,0.7,1,10.5,12.9,0,20,9.9,1.9,13.2
2022,Ayo Dosunmu,SG,22,CHI,5,1,17.2,0.308,0.231,0.385,1,4,19.2,0,11.4,4.3,0.6,10.2
2022,Luka DonÄiÄ‡,PG,22,DAL,15,15,36.8,0.455,0.345,0.534,0.77,31.7,37.3,1.5,29.7,2.1,2.5,12.5
2022,Spencer Dinwiddie,SG,28,DAL,18,3,27.8,0.417,0.417,0.417,0.821,14.2,21.8,1.1,8.6,1.9,1.6,11.6
2022,Gorgui Dieng,C,32,ATL,2,0,5,0.5,0,1,1,1.5,0,0,24.6,11.9,0,0
2022,DeMar DeRozan,PF,32,CHI,5,5,40.6,0.411,0,0.453,0.867,20.8,20.9,1,14,0.5,2.1,9.2
2022,Dewayne Dedmon,C,32,MIA,14,0,9.9,0.467,0.1,0.571,0.833,3.8,5.7,2.4,23.9,12.4,0.4,12.2
2022,Stephen Curry,PG,33,GSW,22,18,34.7,0.459,0.397,0.526,0.829,27.4,28.3,1.1,14.9,1.7,1.9,10.3
2022,Seth Curry,SG,31,BRK,4,4,33,0.564,0.522,0.625,0.667,14.5,14,2.2,8,2,0.4,6.9
2022,JaMychal Green,PF,31,DEN,5,0,13.8,0.375,0.2,0.455,1,4,3.9,1.5,16.7,5.2,0,9.5
2022,Javonte Green,SF,28,CHI,5,1,14.4,0.176,0,0.273,0.5,1.4,3.9,0,10.6,10.3,6,18.3
2022,Jeff Green,PF,35,DEN,5,5,22.6,0.353,0.375,0.333,0.8,3.8,2.3,1.9,12.4,7.4,1.3,9.4
2022,Josh Green,SG,21,DAL,16,0,7.6,0.286,0.227,0.5,0.25,1.4,8.4,0,10.9,1,2.1,0
2022,Isaiah Joe,SG,22,PHI,7,0,2.1,0.4,0.333,0.5,,0.7,0,0,15.6,0,0,37.5
2022,Jaren Jackson Jr.,PF,22,MEM,12,12,27.7,0.378,0.375,0.381,0.755,15.4,5.1,8.9,18.5,7.8,1.3,8.7
2022,Kyrie Irving,PG,29,BRK,4,4,42.5,0.444,0.381,0.476,1,21.3,18.9,2.8,11.6,4.6,2.1,11.1
2022,Brandon Ingram,SF,24,NOP,6,6,39.3,0.475,0.407,0.495,0.83,27,27.3,0.7,17.7,1.9,0.9,14.2
2022,Andre Iguodala,SF,38,GSW,7,0,8.7,0.444,0.333,0.5,0.667,1.6,24.7,3.3,7.2,5.7,0,27.9
2022,Serge Ibaka,C,32,MIL,6,0,3.7,0.25,0,0.308,0.5,1.5,0,0,36,9.7,0,10.6
2022,Bones Hyland,SG,21,DEN,5,0,17.4,0.361,0.348,0.385,0.857,9.2,27.4,0,13.2,1.4,0.6,12.5
2022,De'Andre Hunter,SF,24,ATL,5,5,35,0.557,0.462,0.614,0.8,21.2,3.5,0.6,12,1.4,1.2,12.2
2022,Kevin Huerter,SF,23,ATL,5,5,30.8,0.362,0.29,0.5,0.75,9.2,20.3,2,11.2,0.8,2,18.4
2022,Danuel House Jr.,SF,28,UTA,6,0,18.7,0.409,0.2,0.583,0.75,4.3,5.5,1.1,15.5,2.1,0,19
2022,Al Horford,C,35,BOS,23,23,35.4,0.523,0.48,0.568,0.778,12,14.6,3.5,23.9,5,1.2,12.2
2022,Jrue Holiday,PG,31,MIL,12,12,38.6,0.379,0.316,0.41,0.839,19.1,27.6,1.5,11.8,2.8,2.2,12
2022,Aaron Holiday,PG,25,PHO,6,0,3.3,0.571,0.714,0.429,0,3.5,98.4,4.9,0,18.4,7.7,0
2022,George Hill,PG,35,MIL,5,0,15.2,0.2,0.5,0,1,1,5,0,6.5,1.4,0,14.5
2022,Haywood Highsmith,SF,25,MIA,8,0,3.9,0.429,0.6,0,,1.1,13.9,0,11.8,7.3,0,30
2022,Tyler Herro,SG,22,MIA,15,0,25.4,0.409,0.229,0.523,0.926,12.6,18.5,1.7,16.3,2.1,1.2,12.3
2022,Willy HernangÃ³mez,C,27,NOP,1,0,2,0.25,0,0.333,,2,0,0,0,100,0,0
2022,Juancho HernangÃ³mez,PF,26,UTA,6,0,9.3,0.278,0.333,0.167,,2.3,14,0,20.7,4.2,1.9,10
2022,Jaxson Hayes,C,21,NOP,6,6,13.8,0.56,0,0.636,0.636,5.8,1.9,2.1,16.7,5.3,0,11.8
2022,Sam Hauser,SF,24,BOS,7,0,2.1,0.25,0.333,0,1,0.7,19.1,0,7.3,0,0,0
2022,Tobias Harris,PF,29,PHI,12,12,38.8,0.5,0.386,0.562,0.864,16.9,13,2,20.4,2.8,1.5,9.5
2022,James Harden,PG,32,PHI,12,12,39.9,0.405,0.368,0.439,0.893,18.6,34.8,1.5,13.9,3,1,20.7
2022,Blake Griffin,C,32,BRK,2,0,12.5,0.286,0.4,0,1,4,21.7,3.9,10.5,10.4,2,11.3
2022,Jarrett Culver,SG,22,MEM,3,0,7.3,0.3,0,0.375,0.5,2.3,6.6,0,25.4,9.1,4.3,15.5
2022,Torrey Craig,SF,31,PHO,9,0,7.7,0.364,0.3,0.417,0.5,2.2,9.8,2.8,16.7,8.9,3,14.9
2022,Jalen Johnson,PF,20,ATL,2,0,4.5,0,0,0,,0,0,0,0,0,0,25
2022,Dalano Banton,PG,22,TOR,4,0,2,1,,1,0.5,1.8,23.4,0,0,28.1,6.6,17.7
